title,play_count,date,duration
我们最早去探明日方舟联名店但是最晚发…,58.1万,5-5,13:31
我们从网上找来了一些有趣网站…,82.2万,5-3,23:08
谢谢你影石insta360 X5 全景相机让我们又有理由出去玩了…,30.7万,5-1,15:56
就是因为你才没刮胡子么飞科？,48.6万,4-28,03:25
又网买玩...,107.7万,4-25,41:52
躺岛做出了一次关键的投放！,39.7万,4-20,02:03
于是读了个评论,84.9万,4-16,01:03:20
为了甲方，我们记录了摸鱼事务所的两个工作日...,76.3万,4-12,16:51
我们从网上买了一些雪糕...,157.5万,4-9,29:25
我们的老朋友352带着他们的新品回来了！,43.8万,4-7,08:26
我们从网上买了一些老玩具...,162.7万,4-5,24:50
是时候再次用福赏决战了,50.9万,4-3,13:06
鼓山配不上西昊这么好的椅子！,48.1万,3-28,11:47
我们从网上买了一些饮料...,135.6万,3-27,30:00
随机音乐分类挑战！,67.6万,3-24,13:45
我们从网上买了一些博物馆的文创...,124.1万,3-19,40:12
我们从网上买来了各种各样的玩具...,147.9万,3-6,27:14
本版权方决定去战双考察一番...,94.6万,3-1,22:25
悦芙媞联名了但是不是阿鸭...,78万,2-25,16:00
新年第一期我们做了个灯笼…,67.8万,2-14,31:29
回家过年，HBN让小燕给我改造一下…,79.5万,1-27,17:28
春节前我们收到了一些新春礼盒...,111.4万,1-24,01:35:25
我们带着影石的新品去了趟大阪…,43.1万,1-16,19:46
我们从网上买了一些烟花的替代品…,136.2万,1-8,37:14
转转突然让我去当一日店长...,65.9万,1-1,13:49
这一年我从网上买了什么东西？,93.4万,2024-12-31,25:14
暗影精灵也没想到是这么个办公环境…,43.1万,2024-12-28,08:30
我们从网上买了一些圣诞相关的东西...,121.3万,2024-12-19,39:27
我们从网上买了很多明年的日历...,118.8万,2024-12-6,50:28
有了扫描全能王你的年终报告就是我的了…,79.1万,2024-11-29,03:24
我们今天从网上买来了各种各样吃播会吃的食物…,182.1万,2024-11-27,26:22
如果你用的是荣耀Magic7 Pro很多事情就解决了...,57万,2024-11-25,07:32
我们从网上买了一些...动物形状的玩具...,119.5万,2024-11-15,33:02
今天在拍摄间做陶器...,80万,2024-11-5,23:50
冬天快到了去帮波司登充绒去了…,26.4万,2024-10-27,09:11
我们终于赶上了万圣节...,97.7万,2024-10-25,23:55
谁也不能阻碍小燕拿到珀莱雅红宝石广告的奖金…,47.4万,2024-10-20,03:40
感谢liberlive让我做到自弹自唱…,86.4万,2024-10-18,11:07
我们斥巨资买了一个冰激凌机...,101.8万,2024-10-16,26:04
颐莲夸我说你是我见过的皮肤最差的…,93.2万,2024-10-11,14:47
昨天我们收到了一些中秋礼盒们…下半部分,61.8万,2024-10-1,23:34
昨天我们收到了一些中秋礼盒们…上半部分,64万,2024-9-30,25:24
到了起标题的时候我还在感慨Redmi的降噪耳机竟然只要 199…,56.5万,2024-9-27,06:59
豆包让我回忆一下大学生活我当晚就噩梦了...,65.5万,2024-9-25,11:48
我们从网上买来了一些玩具...,121.6万,2024-9-20,31:05
珀莱雅源力投的这条广告让我走不出循环...,45万,2024-9-13,04:14
我们收到了ti13的周边…,54.3万,2024-9-12,25:03
谷雨溯源把我叫到了中国最西边的城市…,63.5万,2024-9-8,18:10
我们从网上买了各种各样的打火机...,138.8万,2024-9-6,20:45
无用商店甩手掌柜留给伙计们最后的汉王N10pro…,51.8万,2024-8-31,03:07
那天阿欣在拍摄间看到好多人...,44.2万,2024-8-26,02:28
我们从网上买了一些泡泡机...,96.8万,2024-8-23,27:52
阿鸭和蓝盒子过上了快乐的新生活…,52.1万,2024-8-18,10:56
我们买了一些存钱罐为了排版就把标题写成了存钱罐罐...,100.8万,2024-8-8,29:25
我们成功用阿鸭把麻辣王子包装占领了...,82.6万,2024-7-31,08:33
从网上买了两个奢靡迷你厨房玩具…,159.4万,2024-7-29,26:58
鼓山也配成为宁德时代的合伙人么…,32.8万,2024-7-26,03:23
在bw日行三万步真谢谢你了英特尔,74.9万,2024-7-18,14:43
我们从网上买了各种各样的水果...,114.3万,2024-7-15,28:23
夸克说要有一个视频，于是就有了这个视频…,104.1万,2024-7-13,07:58
同事让我写一个新的标题但是其实就是从网上买了一些玩具开箱...,134.4万,2024-7-8,24:41
豆包app让我放了一天的假...,43万,2024-6-30,14:05
【正片补丁】我们又从网上买了一个水星射手,72.7万,2024-6-28,16:02
感谢福赏为我们办公室的同事安上了新 title...,45.4万,2024-6-26,22:56
今天我们从网上买了一点厨房用品...,178.7万,2024-6-21,34:20
搞不懂影石又来投放我们了，它们应该是真...,52.5万,2024-6-13,16:05
原来率土之滨这个游戏这么复杂...,41.1万,2024-6-10,10:57
我们从网上买来了一些水枪...,104.3万,2024-6-7,26:58
海尔给我们办公室加装空调但是条件是..…,91万,2024-6-4,04:37
珀莱雅眼霜投了个广告导致我每天眼保健操…,44.2万,2024-5-21,05:46
玩具这个系列实在是做的太多导致这个标题上的数字让我有一些压力得找个机会把它归零...,132.4万,2024-5-20,27:29
公牛甲方竟以公谋私想窥探我们的桌面...,55万,2024-5-15,19:44
我们把屋子里的织布机拼好了...,74.5万,2024-5-11,26:26
去了一趟转转手机里啥都没了...,75.1万,2024-5-8,10:36
颐莲让我去了一趟敦煌...,104.6万,2024-4-30,17:18
决定读读评论,90.4万,2024-4-28,53:25
感觉这是影石最后一次投放我们了...,99.4万,2024-4-23,14:57
我们从网上买了各种各样的饮料...,179.4万,2024-4-22,34:21
京东让我介绍一下我们公司用的电脑们...,64.5万,2024-4-15,11:08
我们从网上买来了一些文具开箱...,110.5万,2024-4-11,27:20
我们从网上买了一些奥特曼的玩具...,151万,2024-3-29,35:06
往返七十公里就为了看看荣耀新笔记本长啥样...,79.1万,2024-3-25,16:15
我确实没想到Bose会出不是降噪耳机的耳机…,63.8万,2024-3-18,06:33
我们从网上买了一些情人节礼物...,93.4万,2024-3-15,32:06
怎么会有人花钱让我做关箱博主…,66.6万,2024-3-6,14:26
我从网上买了一个三十九块钱的形象改造意见...,94.9万,2024-3-5,25:46
我们给瑷尔博士打电话并且把网上的差评给他们念了一下…,43.2万,2024-3-4,18:10
我从盘锦的市场买了一些烟花...,92.4万,2024-2-24,22:15
正要过年的时候珀莱雅带着它的双抗 3.0 说先等一下…,141.2万,2024-2-20,06:56
倍思Eli开放式耳机让我回忆起一些痛苦的往事...,80.3万,2024-2-12,07:38
在春节前我们开箱了一些合作伙伴寄来的礼盒...,87.9万,2024-2-8,01:15:47
谢谢你影石，我们终于有钱出北京团建了...,74.5万,2024-1-31,18:49
我本意是买一些新年用的道具但是最后好像买的还是龙年的玩具...,100.5万,2024-1-26,28:42
我们从网上买了一些龙年主题相关玩具...,135.8万,2024-1-10,32:42
骑了绿源电动车五分钟路过两个大哥问多少钱买的...,84.3万,2024-1-8,09:48
我们从网上买了一些水果并且尝了尝...,199.5万,2023-12-31,28:21
我们收到了学而思的学习机并且温习了初中数学...,70万,2023-12-29,11:07
我们的选品终于赶上了圣诞节...,116万,2023-12-15,29:11
我最终领悟了AR眼镜的使用场景是什么…（XREAL Air 2 Pro 体验 ）,96.7万,2023-12-6,10:05
我们正在清理办公室里的库存玩具...,110.4万,2023-12-5,26:54
我们接了一个免费产品的付费广告...,64.9万,2023-11-27,05:26
我们从网上买来了一些文具...,119.6万,2023-11-22,25:45
我们从淘宝天猫收到了一堆年度玩具,96.3万,2023-11-8,25:07
我们买来了一些万圣节相关的小玩意...,100.7万,2023-10-31,27:14
我们从网上找了四十位朋友一起测试珀莱雅...,178.2万,2023-10-26,12:07
我们收到了一大堆躺岛的产品...,62.4万,2023-10-24,15:37
我们在拍摄间找到了很多库存玩具...,117万,2023-10-23,24:43
我们收到了 dota2 寄来的 ti12 周边...,77.1万,2023-10-16,24:18
今天我们又从海信收到了一台E8K…就是小了点…,68.5万,2023-10-15,12:29
接欧诗漫广告的结果是早上八点就得找董事长办入职...,77万,2023-10-14,19:24
我们今天从农行收到好多张哆啦A梦的卡...,41.3万,2023-10-10,07:25
2023年我们从合作方手里收到了各种各样的中秋礼盒...（下）,64万,2023-9-30,17:53
2023年我们从合作方手里收到了各种各样的中秋礼盒...（上）,72.1万,2023-9-29,21:00
keep怎么又是你...,93.9万,2023-9-28,27:13
今天我们买来了一个 3d 立体金属拼图...,82万,2023-9-27,24:59
今天我买的新手机和倍思的全家桶一起到了…,69.8万,2023-9-24,13:35
今天我去参加了一个芬达的线下活动...,27.3万,2023-9-19,08:42
我们从网上第二十次买了一些玩具...,153.2万,2023-9-14,22:47
他收到蓝盒子的电动床之后就消失了…,63.7万,2023-9-5,55:07
我们在网上买了一些糖果...,170.8万,2023-8-31,24:02
我看到发售就买了三个塞尔达 puzzle 然后一个都没解开...,79万,2023-8-23,23:43
出门要寄明信片：在大理爬苍山,30.7万,2023-8-18,10:07
我们如愿去了一趟只有河南...,70.4万,2023-8-17,15:15
快速开箱：买了一个别的小孩都买了的电动翅膀...,74.5万,2023-8-10,04:14
讲一下今年bw的故事吧...,75.3万,2023-8-4,31:52
谁能想到刚从bw回来又被夜淘宝拉回上海“划水”了...,45.4万,2023-7-31,07:05
今天我们买来了一些博物馆周边文创的下半部分...,98.7万,2023-7-26,17:06
谁能告诉我为什么生活在南方每天还得用颐莲喷雾补水啊？？,114.5万,2023-7-25,14:02
今天我们买来了一些博物馆周边文创的上半部分...,130.1万,2023-7-14,21:48
极氪说什么都要让我和狗去他们车上午休…,95.3万,2023-7-6,07:48
我们买来了一些泡泡机…下…,96.9万,2023-7-5,25:07
今天同事去试驾还给了几个宝可梦卡包...,68.3万,2023-6-30,06:22
我们买来了一些泡泡机...上...,112.9万,2023-6-21,22:45
快速开箱：从办公室里翻出来一个桌面玩具...,102.7万,2023-6-20,04:57
我们今天收到了躺岛寄来的各种产品...,83.8万,2023-6-15,15:37
一年一度的珀莱雅护肤时间到了…,185.4万,2023-6-14,16:17
希望有一天 yeedi 一点扫地机器人真的可以帮我收拾拍摄间…,49.8万,2023-6-13,09:39
拼多多百亿补贴赞助的出门要寄明信片 01：在大阪环球影城,38.5万,2023-6-12,08:44
我们不厌其烦地从网上买来了各种各样的玩具...,114.3万,2023-6-9,23:56
我们终于还是接了chillmore的广告…,71.2万,2023-6-1,08:00
今天麻辣王子寄来了他们的新包装和辣条鲍鱼味的粽子...,72.3万,2023-5-26,11:40
今天我们像过去的那些年一样买来了呲水枪...,94.1万,2023-5-25,27:03
今天闲鱼找来让我出一出自己的闲置…,64万,2023-5-19,08:52
今天我用儿童厨具给大家做了一顿饭...,149.7万,2023-5-13,24:46
海信寄来了一个大电视大到我们都差点没地方摆...,47.3万,2023-4-29,10:12
这下网络玩具下算是补上了,123.8万,2023-4-27,22:36
虽然我不想但是keep还是来了...,54.6万,2023-4-24,19:28
我们从网上一次又一次地买来了新玩具只是这次没能全剪完于是就放了一半出来...,123.8万,2023-4-23,18:34
352的新品被我改造成鼓风机寄回去了…,52.1万,2023-4-7,05:41
OPPO Pad 2发布一周后，我们终于拍好了这期视频…,50.1万,2023-3-30,05:36
我们今天买来了一些小玩具...,144.6万,2023-3-28,19:16
我们买来了各种各样的日历看一下大家是怎么过日子的...,99.6万,2023-3-21,34:51
这几天我们用追觅拖地把地上的画都拖没了...,72.8万,2023-3-17,07:00
今天我们买来了一些庆祝小道具你们就当做是为了庆祝周五好了...,104.4万,2023-3-10,20:08
那天我们为了给倍思拍广告不得不上了山...,123.5万,2023-3-8,04:46
那天和京东和索尼一起拍了个广告...,42.7万,2023-3-4,12:32
情人节过去了，但是我们还是挑选了一些情人节相关的选品...,110.8万,2023-3-2,23:12
我们收到了一箱淘宝年度丑东西…,132.2万,2023-2-23,17:34
"当我第一次看到""黑武士”改装的问界 M5纯电的时候是我最想学驾照的时候…",45.1万,2023-2-20,05:12
就着拼多多广告的机会给大家分享一下我最近购买的一些电子产品...,57.7万,2023-2-17,12:43
今天我们就像是过去的好多天一样一次又一次地开箱了玩具....,146.2万,2023-2-11,24:28
虽然年已经快过完了但是兔年玩具拍了总得放出来...,130.2万,2023-2-1,29:58
今天我们从新康泰克那边收到了一口大锅...,60.8万,2023-1-27,08:50
那天我们收到了一些年礼（下）,91.2万,2023-1-22,25:44
我们今天拆开看了一下各家寄来的年礼（上半部分）,97.1万,2023-1-19,22:48
我们做了个鱼灯笼确实没想到能用这么久...,108.6万,2023-1-11,36:04
麻辣王子真的来投广告了还寄来了一大堆麻辣王子...,175.3万,2022-12-29,13:05
我们从一个寒冷的地方搬到了另一个寒冷的地方...,93.8万,2022-12-28,12:35
今天还是在拍摄间里抓到什么拍什么...,183.2万,2022-12-8,23:29
今天领克06让我们做一个车的广告但是没有车…,58.3万,2022-11-20,09:52
我们今天有什么开什么...,152.9万,2022-11-19,24:21
过去十四天我坚持使用了珀莱雅擦脸来看看是否有效果...,165.7万,2022-11-10,14:54
虽然万圣节已经过去了但是我们还是开箱了一些万圣节相关...,114.3万,2022-11-9,25:37
今天的甲方想让我睡好觉，结果我写脚本写的更睡不着了…,51.9万,2022-11-6,03:10
今天跑题跑到我也不知道如何用一句话总结了...,105.2万,2022-11-3,23:35
缕灵终于看不下去我的发型了于是让我剪了个头...,76.2万,2022-10-29,09:33
为了躺岛今天给大家表演一个换床上四件套…,55.7万,2022-10-26,05:46
352净化器又来了，这次还来了四个…,44.7万,2022-10-21,07:39
一如既往地买了一些玩具...,166.2万,2022-10-20,20:00
今天我企图给yeedi扫地机器人的广告变一点花样…,58.9万,2022-10-15,04:25
我们提前拿到了Ti11的周边...,108.9万,2022-10-6,19:51
我们把鹿家良品寄来的灯都装在办公室里了...,86万,2022-9-28,11:27
我们就像上个礼拜一样从网上买了一些玩具...,333.8万,2022-9-27,23:26
我差点就忘了今天有个拼多多百亿补贴的广告…,55.6万,2022-9-23,04:15
网上怎么有这么多玩具可以买的？,287.9万,2022-9-19,24:14
今天我们收到了追觅的无线蒸汽洗地机…,47万,2022-9-17,12:28
今天，我们体验了一下彩云小梦的人工智能...,63.3万,2022-9-16,15:40
今天，你们来给泡泡骚做一支广告,43.4万,2022-9-11,01:51:42
我们开箱了各种朋友寄来的中秋礼盒...,114.8万,2022-9-10,31:39
keep 寄来了他们的mini动感单车...并且让我骑了十四天...,93万,2022-8-29,15:34
今天，芬达的新口味让我做一支广告...,64.4万,2022-8-27,07:25
今天我们搞来了一些文具开箱...不过也不全是文具...,136.1万,2022-8-25,24:15
"终于,美的空调出现在了我们的拍摄间...",86.3万,2022-8-18,07:06
今天我从我身后掏出来一堆网络玩具...,145.6万,2022-8-15,23:21
我们今天就像往常一样从网上买来了一些玩具...,164.7万,2022-8-5,24:52
今年夏天我们也买来了一些呲水枪...,143.2万,2022-7-26,27:04
为了拼多多的广告我从百亿补贴买了个电视…,55.2万,2022-7-25,07:52
今天我们收到了来自追觅的洗地机…,171.4万,2022-7-21,14:12
今天我们从网上买来了一些礼物...,147.1万,2022-7-15,33:56
今天康泰克先生来催更我们开箱康泰克先生的周边,63.4万,2022-7-8,14:44
我们那天从各种博物馆买来了他们的文创产品（下）,132.3万,2022-7-6,20:46
我们今天从各种博物馆买来了他们的文创产品,188.2万,2022-7-1,18:19
我们抓捕了评论区的绿源作为今天的甲方...,62.8万,2022-6-30,08:07
我买来了一个手工飞机然后被它折磨了一整个周...,98.3万,2022-6-23,22:17
这次我们收到了来自躺岛的...一大堆东西...,81.4万,2022-6-13,07:00
今天我们从网上找来了一些雪糕...,209.5万,2022-6-9,24:36
今天依然是米博赞助的烘焙小课堂...,85.3万,2022-6-8,13:39
就在我的同事腰肌劳损的时候Steelcase来投广告了...,58.8万,2022-6-5,09:06
拼多多百亿补贴事件,58.4万,2022-6-1,05:01
我们今天收到了gm的秘密基地那边寄来的puzzle...,139.2万,2022-5-31,27:16
今天T恤的合同到了，给大家看一下合同。,42.9万,2022-5-30,00:56
今天理直气壮没洗头的原因是那个甲方又来了…,78.4万,2022-5-26,09:50
今天我们用九个小时企图做一个油纸灯笼还失败了...,92.2万,2022-5-25,18:52
时隔许久，尖叫又寄来了一堆尖叫…,143.7万,2022-5-21,04:21
我们已经习惯从网上买来一些玩具这件事了...,203.6万,2022-5-14,19:51
今天...又是拼多多百亿补贴...,56.3万,2022-5-13,03:00
今天匹克给我们寄来了他们的态极小球...,91.6万,2022-5-7,04:32
今天我们试着做了一点史莱姆...,163.7万,2022-5-6,16:32
今天讲一下阿鸭的故事的后半段...,70.4万,2022-4-30,14:31
今年我们也买了一些泡泡机...,191.5万,2022-4-21,20:45
今天我们为了352把拍摄间整的充满了甲醛…,79.8万,2022-4-15,09:01
我们第十次买来了一些网上艾特我们的玩具们...,192.5万,2022-4-13,25:16
